A,3,0,1,1,17,0,21
A,2,1,3,2,22,0,21
A,1,0,1,3,14,0,21
A,4,5,6,0,47,1,21
B,3,1,0,1,10,0,20
B,2,0,0,0,6,0,20
B,1,2,2,1,10,1,20
B,4,1,1,2,12,0,20
C,3,0,1,1,5,0,20
C,2,2,1,0,7,0,20
C,1,1,2,0,9,1,20
C,4,2,3,5,10,1,20
D,3,1,1,0,8,0,20
D,2,1,2,0,10,0,20
D,1,0,1,1,5,0,20
D,4,0,1,2,9,0,20
E,3,2,4,5,36,1,20
E,2,2,4,3,32,0,20
E,1,0,2,0,13,0,20
E,4,0,0,0,0,0,20
F ,3,3,4,2,6,0,20
F ,2,0,0,0,7,0,20
F ,1,0,1,0,9,0,20
F ,4,5,3,1,36,1,20
G,2,0,1,0,8,0,20
G,1,0,2,0,9,0,20
G,3,0,1,0,4,1,20
G,4,3,4,3,36,0,20
H,3,0,0,0,5,0,20
H,2,0,0,0,7,0,20
H,1,2,1,3,7,0,20
H,4,1,3,2,6,0,20
I,3,0,3,0,10,0,20
I,2,0,2,0,9,0,20
I,1,0,3,0,11,0,20
I,4,0,4,1,17,0,20
J,3,0,1,2,11,1,20
J,2,2,7,0,24,1,20
J,1,0,0,0,10,0,20
J,4,0,1,0,30,1,20